State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.504,3.804,4.046,3.619,U.S Dollar,US Gallon,2024-11-15
Alaska,AK,Fairbanks,3.461,3.698,3.977,3.704,U.S Dollar,US Gallon,2024-11-15
Alaska,AK,Juneau,3.495,3.513,3.6,3.536,U.S Dollar,US Gallon,2024-11-15
Alabama,AL,Anniston-Oxford,2.762,3.102,3.566,3.269,U.S Dollar,US Gallon,2024-11-15
Alabama,AL,Auburn,2.706,3.046,3.509,3.259,U.S Dollar,US Gallon,2024-11-15
Alabama,AL,Birmingham,2.75,3.204,3.6,3.362,U.S Dollar,US Gallon,2024-11-15
Alabama,AL,Daphne-Fairhope-Foley,2.731,3.155,3.518,3.24,U.S Dollar,US Gallon,2024-11-15
Alabama,AL,Decatur,2.717,3.155,3.513,3.28,U.S Dollar,US Gallon,2024-11-15
Alabama,AL,Dothan,2.821,3.208,3.57,3.51,U.S Dollar,US Gallon,2024-11-15
Alabama,AL,Florence-Muscle Shoals,2.723,3.131,3.508,3.254,U.S Dollar,US Gallon,2024-11-15
Alabama,AL,Gadsden,2.624,3.022,3.481,3.311,U.S Dollar,US Gallon,2024-11-15
Alabama,AL,Huntsville,2.796,3.207,3.584,3.392,U.S Dollar,US Gallon,2024-11-15
Alabama,AL,Mobile,2.699,3.118,3.486,3.272,U.S Dollar,US Gallon,2024-11-15
Alabama,AL,Montgomery,2.758,3.197,3.594,3.282,U.S Dollar,US Gallon,2024-11-15
Alabama,AL,Russell County,2.735,3.188,3.534,3.429,U.S Dollar,US Gallon,2024-11-15
Alabama,AL,Tuscaloosa,2.737,3.167,3.589,3.275,U.S Dollar,US Gallon,2024-11-15
Arkansas,AR,Fayetteville-Springdale-Rogers,2.575,2.973,3.254,3.033,U.S Dollar,US Gallon,2024-11-15
Arkansas,AR,Fort Smith (AR only),2.607,2.987,3.364,3.174,U.S Dollar,US Gallon,2024-11-15
Arkansas,AR,Hot Springs,2.692,3.151,3.557,3.281,U.S Dollar,US Gallon,2024-11-15
Arkansas,AR,Jonesboro,2.573,2.921,3.363,3.278,U.S Dollar,US Gallon,2024-11-15
Arkansas,AR,Little Rock-North Little Rock,2.695,3.12,3.526,3.179,U.S Dollar,US Gallon,2024-11-15
Arkansas,AR,Pine Bluff,2.744,3.176,3.641,3.32,U.S Dollar,US Gallon,2024-11-15
Arkansas,AR,Texarkana (AR only),2.692,3.072,3.453,3.223,U.S Dollar,US Gallon,2024-11-15
Arkansas,AR,West Memphis,2.709,3.117,3.598,3.152,U.S Dollar,US Gallon,2024-11-15
Arizona,AZ,East Valley,3.229,3.576,3.897,3.477,U.S Dollar,US Gallon,2024-11-15
Arizona,AZ,Flagstaff,3.302,3.627,3.964,3.614,U.S Dollar,US Gallon,2024-11-15
Arizona,AZ,Glendale,3.038,3.386,3.7,3.435,U.S Dollar,US Gallon,2024-11-15
Arizona,AZ,Lake Havasu-Kingman,3.13,3.395,3.731,3.531,U.S Dollar,US Gallon,2024-11-15
Arizona,AZ,Peoria,3.102,3.455,3.779,3.488,U.S Dollar,US Gallon,2024-11-15
Arizona,AZ,Phoenix Proper,3.102,3.421,3.754,3.523,U.S Dollar,US Gallon,2024-11-15
Arizona,AZ,Phoenix-Mesa,3.165,3.506,3.829,3.526,U.S Dollar,US Gallon,2024-11-15
Arizona,AZ,Pima County,3.113,3.456,3.776,3.429,U.S Dollar,US Gallon,2024-11-15
Arizona,AZ,Prescott,3.279,3.571,3.874,3.479,U.S Dollar,US Gallon,2024-11-15
Arizona,AZ,Scottsdale,3.319,3.643,3.948,3.717,U.S Dollar,US Gallon,2024-11-15
Arizona,AZ,Sierra Vista-Douglas,3.234,3.533,3.841,3.558,U.S Dollar,US Gallon,2024-11-15
Arizona,AZ,Tucson,3.119,3.465,3.785,3.444,U.S Dollar,US Gallon,2024-11-15
Arizona,AZ,West Valley,3.045,3.404,3.737,3.452,U.S Dollar,US Gallon,2024-11-15
Arizona,AZ,Yuma,3.188,3.525,3.819,3.407,U.S Dollar,US Gallon,2024-11-15
California,CA,Bakersfield,4.46,4.693,4.908,5.039,U.S Dollar,US Gallon,2024-11-15
California,CA,Chico-Paradise,4.412,4.584,4.822,4.729,U.S Dollar,US Gallon,2024-11-15
California,CA,El Centro,4.424,4.622,4.814,4.826,U.S Dollar,US Gallon,2024-11-15
California,CA,Fresno,4.454,4.681,4.903,4.963,U.S Dollar,US Gallon,2024-11-15
California,CA,Hanford-Corcoran,4.25,4.525,4.704,4.882,U.S Dollar,US Gallon,2024-11-15
California,CA,Los Angeles-Long Beach,4.473,4.699,4.85,4.88,U.S Dollar,US Gallon,2024-11-15
California,CA,Madera-Chowchilla,4.482,4.617,4.955,4.93,U.S Dollar,US Gallon,2024-11-15
California,CA,Merced,4.375,4.628,4.904,4.997,U.S Dollar,US Gallon,2024-11-15
California,CA,Modesto,4.265,4.497,4.7,4.865,U.S Dollar,US Gallon,2024-11-15
California,CA,Napa,4.638,4.839,5.012,5.012,U.S Dollar,US Gallon,2024-11-15
California,CA,Oakland,4.535,4.781,4.964,4.966,U.S Dollar,US Gallon,2024-11-15
California,CA,Orange County,4.378,4.606,4.749,4.671,U.S Dollar,US Gallon,2024-11-15
California,CA,Redding,4.278,4.42,4.652,4.779,U.S Dollar,US Gallon,2024-11-15
California,CA,Riverside,4.328,4.571,4.734,4.739,U.S Dollar,US Gallon,2024-11-15
California,CA,Sacramento,4.437,4.676,4.868,4.853,U.S Dollar,US Gallon,2024-11-15
California,CA,Salinas,4.722,4.899,5.099,5.199,U.S Dollar,US Gallon,2024-11-15
California,CA,San Bernardino,4.386,4.597,4.778,4.786,U.S Dollar,US Gallon,2024-11-15
California,CA,San Diego,4.526,4.752,4.921,4.779,U.S Dollar,US Gallon,2024-11-15
California,CA,San Francisco,4.691,4.899,5.097,5.036,U.S Dollar,US Gallon,2024-11-15
California,CA,San Jose,4.463,4.706,4.863,4.98,U.S Dollar,US Gallon,2024-11-15
California,CA,San Luis Obispo-Atascadero-Paso Robles,4.755,4.992,5.149,5.246,U.S Dollar,US Gallon,2024-11-15
California,CA,San Rafael,4.619,4.847,5.021,4.972,U.S Dollar,US Gallon,2024-11-15
California,CA,Santa Barbara-Santa Maria-Lompoc,4.494,4.679,4.825,4.913,U.S Dollar,US Gallon,2024-11-15
California,CA,Santa Cruz-Watsonville,4.747,4.964,5.153,5.147,U.S Dollar,US Gallon,2024-11-15
California,CA,Santa Rosa,4.71,4.923,5.107,5.028,U.S Dollar,US Gallon,2024-11-15
California,CA,Stockton-Lodi,4.33,4.598,4.757,4.81,U.S Dollar,US Gallon,2024-11-15
California,CA,Vallejo-Fairfield,4.449,4.707,4.88,4.942,U.S Dollar,US Gallon,2024-11-15
California,CA,Ventura,4.577,4.779,4.955,5.03,U.S Dollar,US Gallon,2024-11-15
California,CA,Visalia-Tulare-Porterville,4.394,4.711,4.912,4.931,U.S Dollar,US Gallon,2024-11-15
California,CA,Yolo,4.375,4.655,4.87,4.739,U.S Dollar,US Gallon,2024-11-15
California,CA,Yuba City,4.274,4.683,4.731,4.724,U.S Dollar,US Gallon,2024-11-15
Colorado,CO,Boulder-Longmont,3.139,3.541,3.935,3.496,U.S Dollar,US Gallon,2024-11-15
Colorado,CO,Colorado Springs,2.893,3.303,3.637,3.325,U.S Dollar,US Gallon,2024-11-15
Colorado,CO,Denver,2.934,3.353,3.678,3.389,U.S Dollar,US Gallon,2024-11-15
Colorado,CO,Durango,3.231,3.499,3.902,3.438,U.S Dollar,US Gallon,2024-11-15
Colorado,CO,Fort Collins-Loveland,2.925,3.31,3.588,3.297,U.S Dollar,US Gallon,2024-11-15
Colorado,CO,Glenwood Springs,3.525,3.887,4.185,3.796,U.S Dollar,US Gallon,2024-11-15
Colorado,CO,Grand Junction (CO only),3.115,3.456,3.778,3.491,U.S Dollar,US Gallon,2024-11-15
Colorado,CO,Greeley,2.825,3.249,3.555,3.287,U.S Dollar,US Gallon,2024-11-15
