State,Regular,Mid-Grade,Premium,Diesel,Date
Alaska,3.78,3.982,4.188,4.176,2023-12-13
Alabama,2.776,3.201,3.573,3.837,2023-12-13
Arkansas,2.712,3.105,3.491,3.748,2023-12-13
Arizona,3.289,3.598,3.888,4.125,2023-12-13
California,4.679,4.904,5.057,5.604,2023-12-13
Colorado,2.818,3.176,3.476,3.817,2023-12-13
Connecticut,3.29,3.902,4.303,4.399,2023-12-13
District of Columbia,3.332,3.833,4.3,4.367,2023-12-13
Delaware,2.999,3.507,3.79,4.01,2023-12-13
Florida,2.936,3.373,3.704,3.78,2023-12-13
Georgia,3.002,3.442,3.83,4.012,2023-12-13
Hawaii,4.703,4.909,5.166,5.674,2023-12-13
Iowa,2.822,3.132,3.609,3.851,2023-12-13
Idaho,3.408,3.619,3.873,4.265,2023-12-13
Illinois,3.246,3.759,4.192,4.07,2023-12-13
Indiana,2.837,3.36,3.812,4.122,2023-12-13
Kansas,2.77,3.087,3.39,3.799,2023-12-13
Kentucky,2.785,3.26,3.676,3.86,2023-12-13
Louisiana,2.705,3.142,3.503,3.649,2023-12-13
Massachusetts,3.305,3.896,4.24,4.314,2023-12-13
Maryland,3.136,3.686,3.954,4.102,2023-12-13
Maine,3.276,3.699,4.138,4.394,2023-12-13
Michigan,3.046,3.596,4.092,4.092,2023-12-13
Minnesota,2.927,3.266,3.674,4.051,2023-12-13
Missouri,2.686,3.048,3.352,3.686,2023-12-13
Mississippi,2.659,3.058,3.431,3.641,2023-12-13
Montana,3.03,3.323,3.627,3.764,2023-12-13
North Carolina,2.933,3.366,3.748,3.998,2023-12-13
North Dakota,2.975,3.294,3.647,4.039,2023-12-13
Nebraska,2.904,3.145,3.58,3.806,2023-12-13
New Hampshire,3.179,3.665,4.074,4.234,2023-12-13
New Jersey,3.164,3.785,4.053,4.211,2023-12-13
New Mexico,2.911,3.296,3.566,3.962,2023-12-13
Nevada,3.996,4.261,4.5,4.389,2023-12-13
New York,3.457,3.975,4.354,4.546,2023-12-13
Ohio,2.782,3.273,3.737,4.054,2023-12-13
Oklahoma,2.667,2.974,3.26,3.619,2023-12-13
Oregon,3.898,4.121,4.354,4.498,2023-12-13
Pennsylvania,3.481,3.897,4.21,4.621,2023-12-13
Rhode Island,3.214,3.863,4.215,4.352,2023-12-13
South Carolina,2.814,3.227,3.586,3.831,2023-12-13
South Dakota,3.038,3.216,3.684,3.846,2023-12-13
Tennessee,2.792,3.206,3.578,3.819,2023-12-13
Texas,2.59,3.021,3.357,3.503,2023-12-13
Utah,2.998,3.219,3.418,3.974,2023-12-13
Virginia,3.005,3.461,3.82,3.971,2023-12-13
Vermont,3.403,3.957,4.361,4.396,2023-12-13
Washington,4.251,4.497,4.705,5.069,2023-12-13
Wisconsin,2.794,3.281,3.713,3.799,2023-12-13
West Virginia,3.096,3.469,3.816,4.062,2023-12-13
Wyoming,2.996,3.259,3.529,4.111,2023-12-13
