State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,5.275,5.493,5.745,5.885,U.S Dollar,US Gallon,2026-05-16
Alabama,AL,4.065,4.505,4.912,5.224,U.S Dollar,US Gallon,2026-05-16
Arkansas,AR,4.071,4.521,4.877,5.193,U.S Dollar,US Gallon,2026-05-16
Arizona,AZ,4.829,5.199,5.525,5.777,U.S Dollar,US Gallon,2026-05-16
California,CA,6.14,6.38,6.564,7.428,U.S Dollar,US Gallon,2026-05-16
Colorado,CO,4.636,5.05,5.377,5.642,U.S Dollar,US Gallon,2026-05-16
Connecticut,CT,4.643,5.157,5.545,5.823,U.S Dollar,US Gallon,2026-05-16
District of Columbia,DC,4.656,5.216,5.597,5.964,U.S Dollar,US Gallon,2026-05-16
Delaware,DE,4.342,4.9,5.196,5.518,U.S Dollar,US Gallon,2026-05-16
Florida,FL,4.246,4.692,5.032,5.205,U.S Dollar,US Gallon,2026-05-16
Georgia,GA,4.009,4.462,4.885,5.117,U.S Dollar,US Gallon,2026-05-16
Hawaii,HI,5.637,5.899,6.154,7.086,U.S Dollar,US Gallon,2026-05-16
Iowa,IA,4.327,4.56,5.162,5.342,U.S Dollar,US Gallon,2026-05-16
Idaho,ID,4.635,4.901,5.181,5.58,U.S Dollar,US Gallon,2026-05-16
Illinois,IL,5.071,5.675,6.141,6.112,U.S Dollar,US Gallon,2026-05-16
Indiana,IN,4.172,4.745,5.238,6.131,U.S Dollar,US Gallon,2026-05-16
Kansas,KS,4.105,4.45,4.768,5.165,U.S Dollar,US Gallon,2026-05-16
Kentucky,KY,4.182,4.736,5.162,5.291,U.S Dollar,US Gallon,2026-05-16
Louisiana,LA,4.004,4.435,4.815,5.083,U.S Dollar,US Gallon,2026-05-16
Massachusetts,MA,4.49,5.036,5.426,5.795,U.S Dollar,US Gallon,2026-05-16
Maryland,MD,4.474,5.028,5.357,5.593,U.S Dollar,US Gallon,2026-05-16
Maine,ME,4.516,5.053,5.548,5.803,U.S Dollar,US Gallon,2026-05-16
Michigan,MI,4.858,5.465,6.023,6.171,U.S Dollar,US Gallon,2026-05-16
Minnesota,MN,4.415,4.835,5.328,5.387,U.S Dollar,US Gallon,2026-05-16
Missouri,MO,4.167,4.558,4.876,5.28,U.S Dollar,US Gallon,2026-05-16
Mississippi,MS,3.995,4.42,4.816,5.084,U.S Dollar,US Gallon,2026-05-16
Montana,MT,4.568,4.909,5.235,5.485,U.S Dollar,US Gallon,2026-05-16
North Carolina,NC,4.202,4.643,5.038,5.421,U.S Dollar,US Gallon,2026-05-16
North Dakota,ND,4.173,4.547,4.952,5.231,U.S Dollar,US Gallon,2026-05-16
Nebraska,NE,4.156,4.371,4.819,5.189,U.S Dollar,US Gallon,2026-05-16
New Hampshire,NH,4.481,4.998,5.45,5.75,U.S Dollar,US Gallon,2026-05-16
New Jersey,NJ,4.508,5.023,5.295,5.605,U.S Dollar,US Gallon,2026-05-16
New Mexico,NM,4.376,4.807,5.124,5.472,U.S Dollar,US Gallon,2026-05-16
Nevada,NV,5.238,5.552,5.85,6.165,U.S Dollar,US Gallon,2026-05-16
New York,NY,4.608,5.095,5.487,5.942,U.S Dollar,US Gallon,2026-05-16
Ohio,OH,4.567,5.094,5.607,6.106,U.S Dollar,US Gallon,2026-05-16
Oklahoma,OK,4.019,4.433,4.727,5.059,U.S Dollar,US Gallon,2026-05-16
Oregon,OR,5.337,5.583,5.862,6.198,U.S Dollar,US Gallon,2026-05-16
Pennsylvania,PA,4.643,5.063,5.442,5.945,U.S Dollar,US Gallon,2026-05-16
Rhode Island,RI,4.486,5.161,5.589,5.566,U.S Dollar,US Gallon,2026-05-16
South Carolina,SC,4.182,4.627,5.014,5.305,U.S Dollar,US Gallon,2026-05-16
South Dakota,SD,4.338,4.51,4.989,5.17,U.S Dollar,US Gallon,2026-05-16
Tennessee,TN,4.107,4.553,4.955,5.195,U.S Dollar,US Gallon,2026-05-16
Texas,TX,3.982,4.447,4.817,5.021,U.S Dollar,US Gallon,2026-05-16
Utah,UT,4.603,4.885,5.122,5.582,U.S Dollar,US Gallon,2026-05-16
Virginia,VA,4.327,4.787,5.162,5.567,U.S Dollar,US Gallon,2026-05-16
Vermont,VT,4.559,5.08,5.523,5.773,U.S Dollar,US Gallon,2026-05-16
Washington,WA,5.774,6.038,6.298,6.803,U.S Dollar,US Gallon,2026-05-16
Wisconsin,WI,4.554,5.071,5.664,5.824,U.S Dollar,US Gallon,2026-05-16
West Virginia,WV,4.526,4.962,5.405,5.794,U.S Dollar,US Gallon,2026-05-16
Wyoming,WY,4.522,4.818,5.101,5.501,U.S Dollar,US Gallon,2026-05-16
